============================================================
PAGE 3 — TABLE 1  (accuracy: 97.99, flavor: lattice)
============================================================
|         | 1                                        | 2                                                                                                                                    | 3      | 4                                                               | 5                                              | 6                                                                                            | 7                                                                                         | 8                          | 9                                                                                    | 10                                | 11                          | 12                                                                                                          | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                            |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           | 1091.84                    |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
| 13      | 400/220kV Indore (PG) (existing)  S/s    | 22°54'31.81"N, 75°53'58.87"E                                                                                                         | WR     |                                                                 | 2x1500 MVA,  765/400 kV 3X500  MVA, 400/220 kV | 1x1500 MVA,  765/400 kV (3rd)  ICT                                                           | 214                                                                                       | 324.4                      | SBESS Services Projectco Two Pvt. Ltd.                                               | 1                                 | 600                         | Renew Urja Sanchar Pvt. Ltd. (300); Renew Samir Urja Pvt. Ltd. (300)                                        | 214                                                                                                                                            | 0                                |         |                                  | 1                                                                     | 2     | Injection of power would be on the extended bus  through 220kV Hybrid/MTS line bays. Additional  quantum of about 150  can be evacuated in case  of injection at 220kV level. |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           | 324.4                      |                                                                                      |                                   | 600                         |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
| 14      | Pachora PS#                              | 23.7177N 76.12333E                                                                                                                   | WR     | 3x500MVA  400/220kV                                             | 3x500MVA,  400/220kV                           | 3x500MVA,  400/220kV                                                                         | Section-A                                                                                 |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  | 6                                                                     | 6     |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 201 202                                                                                   | 450                        | RUMSL (Shajapur SP)                                                                  |                                   |                             |                                                                                                             | 201                                                                                                                                            | 150                              |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      |                                   |                             |                                                                                                             | 202                                                                                                                                            |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 203 204                                                                                   | 550                        | RUMSL (Agar SP)                                                                      |                                   |                             |                                                                                                             | 203                                                                                                                                            | 50                               |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      |                                   |                             |                                                                                                             | 204                                                                                                                                            |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 205                                                                                       | 235                        | Blue Leaf Energy Renewables Pvt. Ltd.                                                |                                   |                             |                                                                                                             | 205                                                                                                                                            | 65                               |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 206                                                                                       | 240                        | VEH Saur Urja Pvt. Ltd.(163.2 ) +  VEH Damen Power Pvt. Ltd. (76.8 )                 |                                   |                             |                                                                                                             | 206                                                                                                                                            | 60                               |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           | 1475                       |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | Section-B                                                                                 |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
